asset,exchange,rate_%,next_funding,fetched_at,signal,spread_%
BTC,OKX,0.004619,00:00 UTC,2026-05-31T19:58:21.860312+00:00,⚪ NORMAL,
ETH,OKX,0.008245,00:00 UTC,2026-05-31T19:58:22.048630+00:00,⚪ NORMAL,
SOL,OKX,0.007239,00:00 UTC,2026-05-31T19:58:22.248634+00:00,⚪ NORMAL,
BNB,OKX,0.01,00:00 UTC,2026-05-31T19:58:22.438452+00:00,⚪ NORMAL,
XRP,OKX,-0.005419,00:00 UTC,2026-05-31T19:58:22.630574+00:00,⚪ NORMAL,
DOGE,OKX,0.005957,00:00 UTC,2026-05-31T19:58:22.832329+00:00,⚪ NORMAL,
AVAX,OKX,0.0023,00:00 UTC,2026-05-31T19:58:23.033906+00:00,⚪ NORMAL,
LINK,OKX,0.009917,00:00 UTC,2026-05-31T19:58:23.224534+00:00,⚪ NORMAL,
ARB,OKX,-0.004179,00:00 UTC,2026-05-31T19:58:23.410969+00:00,⚪ NORMAL,
OP,OKX,0.01,00:00 UTC,2026-05-31T19:58:23.610857+00:00,⚪ NORMAL,
